"x","y","cov","u","ysim"
0.806020066889632,0.979933110367893,1.4866760083815,2.59363892223748,0
0.82943143812709,0.809364548494983,1.40794572023783,5.74833098767371,1
0.849498327759197,0.782608695652174,1.40870292738892,6.41501100801218,1
0.809364548494983,0.889632107023411,1.43657378112412,5.55980627778649,1
0.91304347826087,0.806020066889632,1.46839230647356,4.77613100736945,1
0.846153846153846,0.709030100334448,1.37321521951886,3.50462111347331,1
0.819397993311037,0.678929765886288,1.34270529899582,2.61533761902887,1
0.846153846153846,0.725752508361204,1.38048013519124,3.87578586500287,1
0.859531772575251,0.775919732441472,1.41267026148286,6.4037220692764,1
0.220735785953177,0.953177257525084,1.45492012485392,0.256709555983081,1
0.387959866220736,0.919732441471572,1.3701306614712,4.30044456437076,1
0.836120401337793,0.882943143812709,1.45021986948995,3.86522380668907,1
0.846153846153846,0.812709030100334,1.42088361696886,5.24884438601549,1
0.953177257525084,0.816053511705686,1.50807850662798,4.0071161000231,1
0.806020066889632,0.782608695652174,1.38020212762157,5.24877239457579,1
0.160535117056856,0.809364548494983,1.41465705456295,0.340179675033445,1
0.795986622073579,0.802675585284281,1.38376940660556,4.34580977641022,1
0.123745819397993,0.645484949832776,1.36867286086013,2.55870592670334,1
0.775919732441472,0.812709030100334,1.37719283051233,3.61679094150087,1
0.909698996655518,0.74247491638796,1.43593141553102,5.09857966344728,1
0.812709030100334,0.879598662207358,1.4332296362746,5.69870634593751,1
0.846153846153846,0.966555183946488,1.50473316722433,3.28397261456173,1
0.8561872909699,0.812709030100334,1.42793051801023,5.32101129818707,1
0.923076923076923,0.752508361204013,1.4516014455727,4.91084067766096,1
0.82943143812709,0.953177257525084,1.48545669603322,2.73721156571993,1
0.381270903010033,0.909698996655518,1.36603066688633,4.77751237763001,1
0.852842809364548,0.762541806020067,1.40169369785694,5.5798645670467,1
0.923076923076923,0.498327759197324,1.35170167186079,1.65999856634611,0
0.906354515050167,0.963210702341137,1.54802703021559,3.17203602092354,1
0.341137123745819,0.956521739130435,1.4041509459276,4.38012908165101,1
0.729096989966555,0.0301003344481605,1.06449350857803,1.6094352163382,1
0.832775919732441,0.762541806020067,1.38793546249044,5.87234218623535,1
0.949832775919732,0.792642140468227,1.4936754294611,5.31798403348309,1
